,Name_2021,games_exceeded_2021,games_played_2021,momentum_x,avg_delta_2021,Name_2020,games_exceeded_2020,games_played_2020,momentum_y,avg_delta_2020,21_20_merge,Name_2019,games_exceeded_2019,games_played_2019,momentum,avg_delta_2019,21_19_merge,cum_games,cum_exceeded,cum_momentum,cum_avg_delta,multiplier
0,A.J. Brown,0,4,0.0,-9.725000000000001,A.J. Brown,10.0,11.0,0.9090909090909091,10.836363636363636,both,A.J. Brown,6.0,7.0,0.8571428571428571,10.157142857142857,both,22.0,16.0,0.7272727272727273,1.8818181818181807,1.05
1,A.J. Green,3,6,0.5,-0.5166666666666669,,0.0,0.0,,0.0,left_only,,0.0,0.0,,0.0,left_only,6.0,3.0,0.5,-1.0333333333333339,1.0
3,Aaron Jones,1,5,0.2,0.5199999999999992,Aaron Jones,8.0,14.0,0.5714285714285714,4.800000000000002,both,Aaron Jones,8.0,12.0,0.6666666666666666,9.983333333333333,both,31.0,17.0,0.5483870967741935,2.335483870967742,1.05
4,Aaron Rodgers,3,5,0.6,-1.5399999999999991,Aaron Rodgers,13.0,15.0,0.8666666666666667,6.206666666666666,both,Aaron Rodgers,6.0,16.0,0.375,-0.19999999999999996,both,36.0,22.0,0.6111111111111112,2.1583333333333337,1.05
5,Adam Humphries,2,5,0.4,-1.3399999999999996,,0.0,0.0,,0.0,left_only,Adam Humphries,0.0,1.0,0.0,-0.29999999999999893,both,6.0,2.0,0.3333333333333333,-2.233333333333333,0.95
6,Adam Thielen,3,5,0.6,-0.7600000000000001,Adam Thielen,9.0,11.0,0.8181818181818182,10.963636363636363,both,Adam Thielen,3.0,6.0,0.5,2.6666666666666665,both,22.0,15.0,0.6818181818181818,5.136363636363637,1.05
12,Alexander Mattison,2,5,0.4,3.840000000000001,Alexander Mattison,1.0,1.0,1.0,18.0,both,,0.0,0.0,,0.0,left_only,6.0,3.0,0.5,9.4,1.0
14,Allen Robinson II,0,5,0.0,-6.56,Allen Robinson II,13.0,14.0,0.9285714285714286,8.385714285714286,both,Allen Robinson II,10.0,13.0,0.7692307692307693,4.5,both,32.0,23.0,0.71875,1.6187500000000004,1.05
15,Alvin Kamara,2,5,0.4,-2.78,Alvin Kamara,12.0,14.0,0.8571428571428571,11.342857142857143,both,Alvin Kamara,5.0,12.0,0.4166666666666667,-0.6583333333333332,both,31.0,19.0,0.6129032258064516,4.225806451612903,1.05
16,Amari Cooper,1,5,0.2,0.5800000000000001,Amari Cooper,8.0,8.0,1.0,9.275,both,Amari Cooper,8.0,11.0,0.7272727272727273,6.072727272727274,both,24.0,17.0,0.7083333333333334,3.333333333333334,1.05
20,Andy Dalton,0,3,0.0,-5.233333333333333,Andy Dalton,4.0,8.0,0.5,1.7625,both,Andy Dalton,8.0,11.0,0.7272727272727273,4.0636363636363635,both,22.0,12.0,0.5454545454545454,-0.7863636363636363,1.05
25,Antonio Gibson,3,5,0.6,0.1399999999999995,Antonio Gibson,5.0,9.0,0.5555555555555556,5.722222222222222,both,,0.0,0.0,,0.0,left_only,14.0,8.0,0.5714285714285714,3.778571428571428,1.05
29,Auden Tate,0,2,0.0,-2.5,,0.0,0.0,,0.0,left_only,Auden Tate,4.0,6.0,0.6666666666666666,0.5999999999999996,both,8.0,4.0,0.5,-1.25,1.0
30,Austin Ekeler,4,5,0.8,6.0,Austin Ekeler,6.0,9.0,0.6666666666666666,4.666666666666667,both,Austin Ekeler,9.0,15.0,0.6,5.0600000000000005,both,29.0,19.0,0.6551724137931034,3.5172413793103448,1.05
31,Austin Hooper,1,5,0.2,-3.1599999999999997,,0.0,0.0,,0.0,left_only,Austin Hooper,8.0,10.0,0.8,5.669999999999999,both,15.0,9.0,0.6,-2.1066666666666665,1.05
32,Baker Mayfield,1,5,0.2,-0.5399999999999998,Baker Mayfield,8.0,12.0,0.6666666666666666,3.8166666666666664,both,Baker Mayfield,9.0,15.0,0.6,0.6266666666666667,both,32.0,18.0,0.5625,1.2624999999999997,1.05
33,Baltimore Ravens,1,5,0.2,-2.1,Baltimore Ravens,1.0,2.0,0.5,7.6499999999999995,both,Baltimore Ravens,4.0,4.0,1.0,7.199999999999999,both,11.0,6.0,0.5454545454545454,-0.5181818181818183,1.05
34,Ben Roethlisberger,2,5,0.4,-2.0200000000000005,Ben Roethlisberger,8.0,14.0,0.5714285714285714,2.735714285714285,both,Ben Roethlisberger,0.0,1.0,0.0,-7.100000000000001,both,20.0,10.0,0.5,0.9049999999999994,1.0
39,Brandin Cooks,3,5,0.6,1.64,Brandin Cooks,7.0,7.0,1.0,9.185714285714287,both,Brandin Cooks,2.0,5.0,0.4,0.7400000000000002,both,17.0,12.0,0.7058823529411765,4.747058823529413,1.05
45,Buffalo Bills,3,5,0.6,6.44,Buffalo Bills,1.0,1.0,1.0,4.699999999999999,both,Buffalo Bills,1.0,2.0,0.5,-0.4499999999999993,both,8.0,5.0,0.625,8.637500000000001,1.05
49,Calvin Ridley,1,4,0.25,-3.625000000000001,Calvin Ridley,12.0,13.0,0.9230769230769231,11.26153846153846,both,Calvin Ridley,9.0,9.0,1.0,6.377777777777776,both,26.0,22.0,0.8461538461538461,4.515384615384614,1.1
53,Carlos Hyde,1,4,0.25,-1.8999999999999997,,0.0,0.0,,0.0,left_only,Carlos Hyde,8.0,8.0,1.0,4.3875,both,12.0,9.0,0.75,-1.2666666666666664,1.1
55,Carson Wentz,4,5,0.8,1.5400000000000005,Carson Wentz,6.0,10.0,0.6,3.5900000000000007,both,Carson Wentz,8.0,16.0,0.5,0.8312499999999996,both,31.0,18.0,0.5806451612903226,1.6548387096774198,1.05
59,Chase Claypool,2,4,0.5,3.325,Chase Claypool,3.0,3.0,1.0,5.333333333333333,both,,0.0,0.0,,0.0,left_only,7.0,5.0,0.7142857142857143,6.085714285714286,1.05
60,Chase Edmonds,3,5,0.6,0.31999999999999923,Chase Edmonds,1.0,2.0,0.5,-0.9000000000000004,both,,0.0,0.0,,0.0,left_only,7.0,4.0,0.5714285714285714,0.1999999999999988,1.05
62,Chicago Bears,4,4,1.0,3.7249999999999996,,0.0,0.0,,0.0,left_only,Chicago Bears,3.0,3.0,1.0,6.666666666666667,both,7.0,7.0,1.0,4.257142857142857,1.1
63,Chris Carson,1,4,0.25,-3.3000000000000003,Chris Carson,7.0,10.0,0.7,4.9,both,Chris Carson,8.0,13.0,0.6153846153846154,2.761538461538462,both,27.0,16.0,0.5925925925925926,0.8370370370370368,1.05
64,Chris Conley,1,3,0.3333333333333333,1.9333333333333327,,0.0,0.0,,0.0,left_only,Chris Conley,3.0,5.0,0.6,2.84,both,8.0,4.0,0.5,1.4499999999999995,1.0
66,Chris Godwin,2,5,0.4,1.0,Chris Godwin,8.0,9.0,0.8888888888888888,8.155555555555555,both,Chris Godwin,7.0,13.0,0.5384615384615384,5.176923076923078,both,27.0,17.0,0.6296296296296297,3.0888888888888886,1.05
70,Christian Kirk,2,5,0.4,2.6,,0.0,0.0,,0.0,left_only,Christian Kirk,6.0,9.0,0.6666666666666666,4.833333333333333,both,14.0,8.0,0.5714285714285714,1.8571428571428572,1.05
71,Christian McCaffrey,2,3,0.6666666666666666,-4.966666666666668,Christian McCaffrey,3.0,3.0,1.0,13.866666666666667,both,Christian McCaffrey,11.0,15.0,0.7333333333333333,7.739999999999999,both,21.0,16.0,0.7619047619047619,0.5619047619047618,1.1
74,Cleveland Browns,2,4,0.5,0.47499999999999987,,0.0,0.0,,0.0,left_only,Cleveland Browns,2.0,2.0,1.0,3.5,both,6.0,4.0,0.6666666666666666,0.6333333333333332,1.05
75,Clyde Edwards-Helaire,2,5,0.4,-1.520000000000001,Clyde Edwards-Helaire,6.0,11.0,0.5454545454545454,2.9545454545454537,both,,0.0,0.0,,0.0,left_only,16.0,8.0,0.5,1.081249999999999,1.0
77,Cole Beasley,2,5,0.4,-3.2,,0.0,0.0,,0.0,left_only,Cole Beasley,9.0,11.0,0.8181818181818182,4.954545454545455,both,16.0,11.0,0.6875,-2.0,1.05
79,Cooper Kupp,3,5,0.6,6.519999999999999,Cooper Kupp,10.0,11.0,0.9090909090909091,7.699999999999999,both,Cooper Kupp,9.0,13.0,0.6923076923076923,5.353846153846154,both,29.0,22.0,0.7586206896551724,5.168965517241379,1.1
81,Corey Davis,2,5,0.4,0.9199999999999999,Corey Davis,1.0,1.0,1.0,14.1,both,Corey Davis,2.0,4.0,0.5,5.025,both,10.0,5.0,0.5,2.3299999999999996,1.0
82,Courtland Sutton,2,5,0.4,0.9399999999999995,,0.0,0.0,,0.0,left_only,Courtland Sutton,8.0,13.0,0.6153846153846154,2.7230769230769223,both,18.0,10.0,0.5555555555555556,0.5222222222222219,1.05
83,Curtis Samuel,0,2,0.0,-6.1,,0.0,0.0,,0.0,left_only,Curtis Samuel,7.0,8.0,0.875,4.4625,both,10.0,7.0,0.7,-2.44,1.05
